GeoLoc,OrgPerc,IMAPerc,NumPend,MaintTime,AWMDays,AWMProb,UtilOrg,UtilIMA,UtilDiff
Overall,0.66,0.34,17,16.10980383,6.641615652,0.505518836,0.452731065,0.378254965,0.778259689
Overall,0.72,0.28,17,12.26723555,2.799047368,0.415365232,0.41694368,0.459124893,0.64695097
Overall,0.76,0.24,17,12.34125942,2.873071238,0.418878619,0.395361605,0.539285685,0.668422951
Overall,0.46,0.54,19,34.34104688,24.8728587,0.436101723,0.564959377,0.199519778,0.866427148
Overall,0.54,0.46,19,16.10046257,6.632274393,0.467476594,0.552846084,0.280023254,0.840600449
Overall,0.56,0.44,19,16.10046257,6.632274393,0.467472797,0.533101581,0.292751584,0.82871574
Overall,0.64,0.36,19,10.49312572,1.024937539,0.307541717,0.467513536,0.354273199,0.640239283
Overall,0.66,0.34,19,10.56049703,1.092308849,0.312026132,0.454650404,0.38161823,0.617098313
Overall,0.74,0.26,19,11.74736596,2.279177778,0.309472506,0.405792986,0.495697281,0.640943422
Overall,0.76,0.24,19,11.7088725,2.240684326,0.310162642,0.395399861,0.535842826,0.650324023
Overall,0.4,0.6,20,34.17687577,24.70868759,0.436543257,0.652240485,0.181509852,0.873990449
Overall,0.42,0.58,20,34.28763788,24.8194497,0.436449514,0.619140225,0.186265659,0.874205262
Overall,0.5,0.5,20,16.04045754,6.57226936,0.457811615,0.597704948,0.256743727,0.850913659
Overall,0.52,0.48,20,16.07360772,6.605419539,0.457581166,0.57465274,0.268399906,0.840832199
Overall,0.6,0.4,20,10.43435174,0.966163565,0.289212865,0.500653334,0.321796253,0.656264046
Overall,0.62,0.38,20,10.43224017,0.96405199,0.289935922,0.483907435,0.337479808,0.6437133
Overall,0.7,0.3,20,10.37165906,0.903470877,0.240305429,0.428388448,0.426604461,0.476830006
Overall,0.72,0.28,20,10.44153144,0.973343263,0.244818996,0.41716394,0.461441306,0.489300797
Overall,0.8,0.2,20,22.42094615,12.95275797,0.31049525,0.363680277,0.615708727,0.789991479
Overall,0.82,0.18,20,22.67999699,13.21180881,0.314083183,0.353432834,0.685912172,0.797678335
Overall,0.48,0.52,21,16.18794075,6.719752572,0.451869423,0.622976483,0.247321183,0.850820058
Overall,0.8,0.2,21,22.43225224,12.96406406,0.28802187,0.362977556,0.616139593,0.780300366
Overall,0.48,0.52,25,10.30247653,0.834288356,0.260833829,0.623934399,0.245028235,0.671338492
Overall,0.54,0.46,25,9.844942707,0.376754529,0.15097021,0.556549515,0.279678423,0.538916656
Overall,0.34,0.66,23,34.22138557,24.75319739,0.459861125,0.76687924,0.160657273,0.88083885
Overall,0.36,0.64,23,34.26763464,24.79944646,0.447134797,0.720958667,0.174940447,0.871718444
Overall,0.44,0.56,23,16.34249759,6.874309411,0.447463673,0.678825515,0.2302045,0.842686251
Overall,0.46,0.54,23,16.59075682,7.122568644,0.450432234,0.65016937,0.238798979,0.839993039
Overall,0.52,0.48,23,10.3580022,0.88981402,0.263021778,0.57735807,0.268194583,0.672868171
Overall,0.56,0.44,23,10.32499699,0.856808808,0.261816419,0.535892957,0.291573205,0.64139748
Overall,0.62,0.38,23,9.870352702,0.402164524,0.162713716,0.484182872,0.339635198,0.499991972
